hotspot_id,hotspot_name,latitude,longitude,habitat_id,species_count,endangered_species,biodiversity_index,conservation_priority
HS001,Hotspot 001 - Bamboo Grove,19.876472,74.424613,HAB016,83,5,0.729,Medium
HS002,Hotspot 002 - Agricultural Field,19.886942,74.445774,HAB003,47,7,0.275,High
HS003,Hotspot 003 - Onion Field,19.913755,74.569015,HAB030,96,5,0.315,Critical
HS004,Hotspot 004 - Village Grove,19.942643,74.434498,HAB022,95,8,0.45,Medium
HS005,Hotspot 005 - Railway Corridor Green,19.857681,74.383252,HAB024,41,8,0.402,High
HS006,Hotspot 006 - Onion Field,19.858404,74.390295,HAB030,44,6,0.477,High
HS007,Hotspot 007 - Salt-affected Land,19.922483,74.57414,HAB027,5,8,0.951,High
HS008,Hotspot 008 - Canal,19.883432,74.352125,HAB009,76,8,0.825,Critical
HS009,Hotspot 009 - Agricultural Field,19.835252,74.373241,HAB003,15,8,0.653,Low
HS010,Hotspot 010 - Urban Garden,19.920612,74.508687,HAB007,94,2,0.303,Low
HS011,Hotspot 011 - Poultry Farm Periphery,19.920578,74.388621,HAB028,63,2,0.808,Low
HS012,Hotspot 012 - Check Dam Backwater,19.905928,74.383947,HAB018,46,1,0.313,Critical
HS013,Hotspot 013 - Pond,19.802318,74.356244,HAB006,20,4,0.514,High
HS014,Hotspot 014 - Grassland,19.929344,74.393797,HAB005,116,8,0.904,Critical
HS015,Hotspot 015 - Wasteland,19.855574,74.443431,HAB014,75,8,0.766,Critical
HS016,Hotspot 016 - Riverbank Sandbar,19.899952,74.407552,HAB021,105,2,0.312,High
HS017,Hotspot 017 - Rocky Outcrop,19.911737,74.587517,HAB013,94,7,0.283,Medium
HS018,Hotspot 018 - Godavari River,19.850662,74.590597,HAB001,33,3,0.471,Critical
HS019,Hotspot 019 - Sugarcane Farm,19.903412,74.472356,HAB004,40,2,0.73,High
HS020,Hotspot 020 - Wetland,19.823448,74.380131,HAB002,84,3,0.216,High
HS021,Hotspot 021 - Pond,19.862384,74.450547,HAB006,73,5,0.826,Critical
HS022,Hotspot 022 - Agricultural Field,19.924429,74.562471,HAB003,109,3,0.241,Medium
HS023,Hotspot 023 - Roadside Plantation,19.941411,74.479672,HAB010,36,5,0.748,Low
HS024,Hotspot 024 - School Campus Green,19.81215,74.500446,HAB025,28,5,0.898,Low
HS025,Hotspot 025 - School Campus Green,19.824633,74.355087,HAB025,118,2,0.971,Critical
HS026,Hotspot 026 - Temple Grove,19.932348,74.596962,HAB008,62,4,0.819,Medium
HS027,Hotspot 027 - Reservoir,19.942553,74.407711,HAB011,54,0,0.558,Critical
HS028,Hotspot 028 - Check Dam Backwater,19.911249,74.439867,HAB018,77,2,0.476,Critical
HS029,Hotspot 029 - Irrigation Tank,19.870219,74.525322,HAB023,62,2,0.463,Medium
HS030,Hotspot 030 - Rocky Outcrop,19.906595,74.541125,HAB013,54,4,0.484,Low
HS031,Hotspot 031 - Irrigation Tank,19.837935,74.375293,HAB023,82,6,0.32,Critical
HS032,Hotspot 032 - Mango Orchard,19.849757,74.509128,HAB015,84,6,0.818,High
HS033,Hotspot 033 - Urban Garden,19.940187,74.412682,HAB007,26,8,0.422,Critical
HS034,Hotspot 034 - Mango Orchard,19.865434,74.368855,HAB015,16,2,0.928,High
HS035,Hotspot 035 - Bamboo Grove,19.915305,74.426103,HAB016,13,5,0.977,Medium
HS036,Hotspot 036 - Dry Deciduous Patch,19.804172,74.504164,HAB026,40,1,0.896,Low
HS037,Hotspot 037 - Salt-affected Land,19.941824,74.465983,HAB027,94,5,0.351,Medium
HS038,Hotspot 038 - Sugarcane Farm,19.831514,74.386352,HAB004,8,6,0.458,Critical
HS039,Hotspot 039 - School Campus Green,19.885424,74.445511,HAB025,70,5,0.73,Low
HS040,Hotspot 040 - Reservoir,19.813659,74.4983,HAB011,63,3,0.62,Critical
HS041,Hotspot 041 - Urban Garden,19.857748,74.462535,HAB007,36,7,0.956,Medium
HS042,Hotspot 042 - Wetland,19.806117,74.46447,HAB002,15,5,0.714,Medium
HS043,Hotspot 043 - Bamboo Grove,19.8734,74.424491,HAB016,29,4,0.923,Low
HS044,Hotspot 044 - Nursery Plot,19.800799,74.547547,HAB020,49,5,0.333,Low
HS045,Hotspot 045 - Grassland,19.892091,74.417071,HAB005,74,2,0.547,Low
HS046,Hotspot 046 - School Campus Green,19.900539,74.496756,HAB025,36,8,0.666,High
HS047,Hotspot 047 - Bamboo Grove,19.824886,74.435248,HAB016,24,4,0.912,Critical
HS048,Hotspot 048 - Scrubland,19.802451,74.550301,HAB012,84,1,0.636,Low
HS049,Hotspot 049 - Grassland,19.858073,74.411987,HAB005,102,8,0.845,High
HS050,Hotspot 050 - Temple Grove,19.864274,74.57508,HAB008,82,5,0.947,Critical
HS051,Hotspot 051 - Dry Deciduous Patch,19.830503,74.468427,HAB026,32,7,0.374,High
HS052,Hotspot 052 - Riverbank Sandbar,19.831065,74.585439,HAB021,8,2,0.352,Low
HS053,Hotspot 053 - Mango Orchard,19.824675,74.53062,HAB015,44,8,0.736,Medium
HS054,Hotspot 054 - Grassland,19.823373,74.485819,HAB005,34,7,0.62,Critical
HS055,Hotspot 055 - Cotton Field,19.849589,74.417666,HAB029,102,6,0.223,Low
HS056,Hotspot 056 - Bamboo Grove,19.834523,74.463152,HAB016,23,4,0.768,Low
HS057,Hotspot 057 - Check Dam Backwater,19.867344,74.353381,HAB018,44,4,0.217,Low
HS058,Hotspot 058 - Salt-affected Land,19.934744,74.472284,HAB027,97,4,0.344,Critical
HS059,Hotspot 059 - Scrubland,19.846791,74.44565,HAB012,87,4,0.492,High
HS060,Hotspot 060 - Dry Deciduous Patch,19.813208,74.425003,HAB026,84,0,0.928,High
HS061,Hotspot 061 - Railway Corridor Green,19.87746,74.375811,HAB024,39,1,0.822,High
HS062,Hotspot 062 - Rocky Outcrop,19.830358,74.424051,HAB013,29,3,0.846,Low
HS063,Hotspot 063 - Canal,19.823356,74.545326,HAB009,91,6,0.722,Critical
HS064,Hotspot 064 - Godavari River,19.817893,74.576352,HAB001,56,2,0.872,Medium
HS065,Hotspot 065 - Scrubland,19.818373,74.485211,HAB012,58,7,0.888,Low
HS066,Hotspot 066 - Roadside Plantation,19.869429,74.428783,HAB010,48,5,0.423,Medium
HS067,Hotspot 067 - Agricultural Field,19.897467,74.409927,HAB003,120,5,0.786,Critical
HS068,Hotspot 068 - Riverbank Sandbar,19.915297,74.423789,HAB021,45,2,0.475,Critical
HS069,Hotspot 069 - Salt-affected Land,19.911817,74.509107,HAB027,26,4,0.458,Critical
HS070,Hotspot 070 - Grassland,19.885158,74.544765,HAB005,12,1,0.682,High
HS071,Hotspot 071 - Grassland,19.831836,74.548343,HAB005,77,7,0.459,Critical
HS072,Hotspot 072 - Riverbank Sandbar,19.87358,74.546581,HAB021,52,1,0.58,Medium
HS073,Hotspot 073 - Rocky Outcrop,19.902813,74.385165,HAB013,79,6,0.459,Critical
HS074,Hotspot 074 - Fallow Land,19.939163,74.479001,HAB019,74,4,0.902,Medium
HS075,Hotspot 075 - Dry Deciduous Patch,19.867731,74.400505,HAB026,96,6,0.593,High
HS076,Hotspot 076 - School Campus Green,19.854859,74.403556,HAB025,100,4,0.633,High
HS077,Hotspot 077 - Reservoir,19.93044,74.443214,HAB011,37,5,0.221,Medium
HS078,Hotspot 078 - Check Dam Backwater,19.841929,74.525809,HAB018,68,3,0.836,High
HS079,Hotspot 079 - Rocky Outcrop,19.803333,74.521442,HAB013,98,2,0.683,Low
HS080,Hotspot 080 - Wasteland,19.848035,74.383758,HAB014,106,4,0.947,High
HS081,Hotspot 081 - Agricultural Field,19.935658,74.489624,HAB003,101,0,0.588,Critical
HS082,Hotspot 082 - School Campus Green,19.86025,74.52069,HAB025,69,5,0.649,Medium
HS083,Hotspot 083 - Reservoir,19.842451,74.405657,HAB011,63,8,0.686,Critical
HS084,Hotspot 084 - Godavari River,19.852053,74.509405,HAB001,76,8,0.38,Low
HS085,Hotspot 085 - Roadside Plantation,19.893645,74.5958,HAB010,13,0,0.31,Low
HS086,Hotspot 086 - Wetland,19.922653,74.450263,HAB002,102,8,0.464,High
HS087,Hotspot 087 - Scrubland,19.93086,74.516192,HAB012,19,2,0.311,Low
HS088,Hotspot 088 - Riverbank Sandbar,19.903685,74.425439,HAB021,11,7,0.585,Critical
HS089,Hotspot 089 - Railway Corridor Green,19.857107,74.46239,HAB024,106,6,0.763,Low
HS090,Hotspot 090 - Village Grove,19.806694,74.396698,HAB022,43,0,0.936,Low
HS091,Hotspot 091 - Godavari River,19.833227,74.596646,HAB001,92,0,0.699,Medium
HS092,Hotspot 092 - Sugarcane Farm,19.854219,74.435649,HAB004,51,4,0.51,Critical
HS093,Hotspot 093 - Grassland,19.811779,74.474419,HAB005,56,6,0.547,Critical
HS094,Hotspot 094 - Irrigation Tank,19.861268,74.597982,HAB023,38,3,0.583,Medium
