report_id,user_id,species_id,latitude,longitude,report_date,image_filename,remarks,verification_status,admin_comments
CR00001,USR0375,SP0243,19.900243,74.540558,2018-03-08,CR00001_SP0243.jpg,Reported by local farmer,Verified,
CR00002,USR0280,SP0106,19.936102,74.357461,2020-11-04,CR00002_SP0106.jpg,Spotted during morning walk,Verified,
CR00003,USR0115,SP0290,19.870944,74.360201,2017-01-01,CR00003_SP0290.jpg,Nesting site found,Pending,
CR00004,USR0495,SP0401,19.893376,74.514416,2017-09-09,CR00004_SP0401.jpg,Reported by local farmer,Pending,
CR00005,USR0283,SP0345,19.905049,74.366823,2024-01-28,CR00005_SP0345.jpg,Reported by local farmer,Verified,Needs a clearer photo.
CR00006,USR0257,SP0058,19.853793,74.470674,2016-08-11,CR00006_SP0058.jpg,Roadkill reported,Pending,Species ID corrected by reviewer.
CR00007,USR0156,SP0432,19.834528,74.533283,2020-12-19,CR00007_SP0432.jpg,Noticed unusual coloration,Verified,Needs a clearer photo.
CR00008,USR0233,SP0435,19.872768,74.422981,2016-11-12,CR00008_SP0435.jpg,Spotted near temple pond,Pending,
CR00009,USR0114,SP0123,19.890459,74.525911,2023-02-27,CR00009_SP0123.jpg,Roadkill reported,Verified,Cross-checked with expert - confirmed.
CR00010,USR0440,SP0425,19.915003,74.411774,2019-12-06,CR00010_SP0425.jpg,Seen at riverbank,Verified,Cross-checked with expert - confirmed.
CR00011,USR0102,SP0119,19.85207,74.591365,2024-12-04,CR00011_SP0119.jpg,Spotted near temple pond,Pending,
CR00012,USR0104,SP0207,19.876962,74.524558,2023-09-09,CR00012_SP0207.jpg,Seen at riverbank,Verified,Duplicate of earlier report.
CR00013,USR0079,SP0042,19.908622,74.587169,2019-01-30,CR00013_SP0042.jpg,Seen during college nature trail,Verified,Needs a clearer photo.
CR00014,USR0076,SP0092,19.910103,74.538824,2025-10-24,CR00014_SP0092.jpg,Found near farm,Verified,Duplicate of earlier report.
CR00015,USR0254,SP0145,19.887457,74.599212,2020-01-12,CR00015_SP0145.jpg,Seen during college nature trail,Pending,Needs a clearer photo.
CR00016,USR0419,SP0316,19.855819,74.391262,2021-01-10,CR00016_SP0316.jpg,Nesting site found,Pending,
CR00017,USR0037,SP0401,19.912581,74.543662,2023-06-18,CR00017_SP0401.jpg,Nesting site found,Pending,Duplicate of earlier report.
CR00018,USR0388,SP0363,19.860835,74.421189,2025-07-26,CR00018_SP0363.jpg,Nesting site found,Verified,"Looks accurate, approved."
CR00019,USR0033,SP0146,19.821294,74.577654,2024-07-29,CR00019_SP0146.jpg,Seen at riverbank,Rejected,
CR00020,USR0080,SP0169,19.907793,74.386247,2022-12-05,CR00020_SP0169.jpg,Seen at riverbank,Verified,
CR00021,USR0127,SP0350,19.850492,74.452456,2025-06-04,CR00021_SP0350.jpg,Spotted near temple pond,Verified,
CR00022,USR0061,SP0043,19.820999,74.363095,2025-12-30,CR00022_SP0043.jpg,Spotted near temple pond,Verified,Duplicate of earlier report.
CR00023,USR0460,SP0062,19.892404,74.595207,2025-01-04,CR00023_SP0062.jpg,Reported by local farmer,Rejected,
CR00024,USR0485,SP0126,19.906017,74.526388,2021-04-03,CR00024_SP0126.jpg,Seen at riverbank,Pending,
CR00025,USR0404,SP0111,19.916501,74.400707,2022-01-14,CR00025_SP0111.jpg,Seen at riverbank,Verified,
CR00026,USR0144,SP0241,19.899323,74.372047,2017-09-06,CR00026_SP0241.jpg,Found near farm,Verified,Species ID corrected by reviewer.
CR00027,USR0074,SP0290,19.849962,74.450711,2024-09-10,CR00027_SP0290.jpg,Seen during college nature trail,Verified,Needs a clearer photo.
CR00028,USR0267,SP0127,19.834669,74.436708,2025-06-12,CR00028_SP0127.jpg,Roadkill reported,Pending,Needs a clearer photo.
CR00029,USR0381,SP0449,19.915561,74.532237,2023-12-23,CR00029_SP0449.jpg,Noticed unusual coloration,Verified,
CR00030,USR0164,SP0156,19.892928,74.353532,2025-07-10,CR00030_SP0156.jpg,Nesting site found,Verified,Cross-checked with expert - confirmed.
CR00031,USR0358,SP0289,19.836166,74.430935,2025-08-05,CR00031_SP0289.jpg,Multiple individuals seen,Verified,
CR00032,USR0253,SP0254,19.866622,74.419365,2026-06-20,CR00032_SP0254.jpg,Found near farm,Pending,
CR00033,USR0019,SP0031,19.819105,74.388352,2023-12-09,CR00033_SP0031.jpg,Roadkill reported,Verified,
CR00034,USR0391,SP0368,19.923212,74.408021,2018-11-19,CR00034_SP0368.jpg,Found near farm,Pending,
CR00035,USR0103,SP0386,19.860675,74.430756,2023-03-31,CR00035_SP0386.jpg,Spotted near temple pond,Verified,"Looks accurate, approved."
CR00036,USR0315,SP0020,19.913777,74.471616,2021-02-23,CR00036_SP0020.jpg,Reported by local farmer,Pending,Species ID corrected by reviewer.
CR00037,USR0319,SP0340,19.851474,74.395751,2024-05-30,CR00037_SP0340.jpg,Roadkill reported,Verified,
CR00038,USR0261,SP0169,19.80657,74.58068,2018-02-15,CR00038_SP0169.jpg,Nesting site found,Verified,
CR00039,USR0165,SP0115,19.806532,74.598508,2026-03-08,CR00039_SP0115.jpg,Nesting site found,Verified,
CR00040,USR0076,SP0123,19.907774,74.363495,2025-10-30,CR00040_SP0123.jpg,Noticed unusual coloration,Pending,Cross-checked with expert - confirmed.
CR00041,USR0107,SP0413,19.82388,74.391757,2023-08-10,CR00041_SP0413.jpg,Spotted during morning walk,Verified,Species ID corrected by reviewer.
CR00042,USR0432,SP0247,19.824729,74.564179,2019-11-06,CR00042_SP0247.jpg,Multiple individuals seen,Verified,Needs a clearer photo.
CR00043,USR0329,SP0194,19.803453,74.394859,2018-03-29,CR00043_SP0194.jpg,Seen during college nature trail,Verified,Cross-checked with expert - confirmed.
CR00044,USR0097,SP0305,19.909191,74.400938,2017-05-17,CR00044_SP0305.jpg,Roadkill reported,Verified,Duplicate of earlier report.
CR00045,USR0458,SP0130,19.866469,74.560811,2026-02-16,CR00045_SP0130.jpg,Spotted near temple pond,Pending,Needs a clearer photo.
CR00046,USR0317,SP0253,19.810902,74.569595,2019-10-20,CR00046_SP0253.jpg,Spotted near temple pond,Pending,Duplicate of earlier report.
CR00047,USR0201,SP0249,19.927401,74.499213,2016-08-30,CR00047_SP0249.jpg,Roadkill reported,Verified,Duplicate of earlier report.
CR00048,USR0222,SP0100,19.944426,74.510658,2019-12-17,CR00048_SP0100.jpg,Roadkill reported,Verified,"Looks accurate, approved."
CR00049,USR0054,SP0132,19.947619,74.404928,2016-08-08,CR00049_SP0132.jpg,Roadkill reported,Verified,
CR00050,USR0500,SP0360,19.939995,74.353659,2023-03-20,CR00050_SP0360.jpg,Spotted near temple pond,Rejected,
CR00051,USR0302,SP0408,19.897245,74.557458,2022-12-31,CR00051_SP0408.jpg,Nesting site found,Verified,Species ID corrected by reviewer.
CR00052,USR0079,SP0377,19.916072,74.371101,2018-12-02,CR00052_SP0377.jpg,Seen during college nature trail,Rejected,Species ID corrected by reviewer.
CR00053,USR0217,SP0376,19.842151,74.527992,2021-10-28,CR00053_SP0376.jpg,Roadkill reported,Pending,Species ID corrected by reviewer.
CR00054,USR0170,SP0309,19.89405,74.567345,2023-03-08,CR00054_SP0309.jpg,Found near farm,Pending,Species ID corrected by reviewer.
CR00055,USR0277,SP0346,19.863606,74.528593,2018-09-28,CR00055_SP0346.jpg,Noticed unusual coloration,Verified,
CR00056,USR0326,SP0135,19.842945,74.542614,2020-11-26,CR00056_SP0135.jpg,Roadkill reported,Pending,
CR00057,USR0054,SP0194,19.891496,74.566874,2020-07-28,CR00057_SP0194.jpg,Seen at riverbank,Pending,Needs a clearer photo.
CR00058,USR0017,SP0163,19.829605,74.589096,2022-10-14,CR00058_SP0163.jpg,Reported by local farmer,Verified,Needs a clearer photo.
CR00059,USR0178,SP0182,19.843236,74.51487,2025-12-23,CR00059_SP0182.jpg,Spotted near temple pond,Rejected,Cross-checked with expert - confirmed.
CR00060,USR0240,SP0218,19.814853,74.397508,2017-10-14,CR00060_SP0218.jpg,Seen at riverbank,Rejected,
CR00061,USR0277,SP0327,19.853518,74.539017,2024-03-23,CR00061_SP0327.jpg,Found near farm,Verified,Duplicate of earlier report.
CR00062,USR0030,SP0295,19.841135,74.420593,2018-09-15,CR00062_SP0295.jpg,Multiple individuals seen,Verified,"Looks accurate, approved."
CR00063,USR0106,SP0047,19.869883,74.453596,2018-09-12,CR00063_SP0047.jpg,Roadkill reported,Pending,
CR00064,USR0066,SP0362,19.888026,74.361784,2019-05-19,CR00064_SP0362.jpg,Seen at riverbank,Verified,Needs a clearer photo.
CR00065,USR0475,SP0168,19.830902,74.530735,2021-02-13,CR00065_SP0168.jpg,Seen during college nature trail,Verified,Cross-checked with expert - confirmed.
CR00066,USR0464,SP0295,19.858549,74.58068,2018-11-29,CR00066_SP0295.jpg,Seen during college nature trail,Verified,Needs a clearer photo.
CR00067,USR0222,SP0004,19.828168,74.523755,2017-03-13,CR00067_SP0004.jpg,Seen during college nature trail,Verified,
CR00068,USR0422,SP0333,19.910542,74.388203,2018-05-08,CR00068_SP0333.jpg,Spotted during morning walk,Verified,"Looks accurate, approved."
CR00069,USR0062,SP0174,19.874923,74.563816,2019-01-16,CR00069_SP0174.jpg,Roadkill reported,Verified,Cross-checked with expert - confirmed.
CR00070,USR0202,SP0354,19.906776,74.436286,2026-06-10,CR00070_SP0354.jpg,Seen at riverbank,Verified,"Looks accurate, approved."
CR00071,USR0287,SP0280,19.949553,74.493528,2020-12-03,CR00071_SP0280.jpg,Seen at riverbank,Verified,
CR00072,USR0332,SP0024,19.808096,74.582083,2025-04-30,CR00072_SP0024.jpg,Spotted near temple pond,Pending,Duplicate of earlier report.
CR00073,USR0095,SP0273,19.86738,74.35702,2022-03-21,CR00073_SP0273.jpg,Roadkill reported,Verified,Cross-checked with expert - confirmed.
CR00074,USR0405,SP0454,19.925449,74.440234,2017-06-11,CR00074_SP0454.jpg,Spotted during morning walk,Verified,"Looks accurate, approved."
CR00075,USR0280,SP0188,19.897051,74.355005,2025-12-18,CR00075_SP0188.jpg,Nesting site found,Pending,Needs a clearer photo.
