project_id,project_name,location,start_date,status,budget_inr,organization
PRJ001,Butterfly Garden - Loni,Loni,2025-08-11,Completed,574379,Local Self-Help Group
PRJ002,Native Species Nursery - Bramhangaon,Bramhangaon,2023-03-30,On Hold,1787335,WWF-India Local Chapter
PRJ003,Tree Plantation - Loni,Loni,2021-05-26,Completed,493544,Local Self-Help Group
PRJ004,Tree Plantation - Loni,Loni,2018-01-02,On Hold,656328,Godavari Conservation Trust
PRJ005,Bird Census - Rahata,Rahata,2021-12-31,Ongoing,2237908,Rotary Club Kopargaon
PRJ006,Native Species Nursery - Tigaon,Tigaon,2021-08-07,Ongoing,1853671,Local Self-Help Group
PRJ007,Native Species Nursery - Aloli Pathar,Aloli Pathar,2022-02-02,Planned,1443246,Local Self-Help Group
PRJ008,School Biodiversity Program - Shrirampur Tanda,Shrirampur Tanda,2022-01-22,Ongoing,392159,Maharashtra Forest Department
PRJ009,Bird Census - Musalwadi,Musalwadi,2020-06-27,Completed,1504331,Local Self-Help Group
PRJ010,Bird Census - Ranjankhol,Ranjankhol,2018-02-15,Planned,348908,WWF-India Local Chapter
PRJ011,Anti-Poaching Patrol - Titvi Tanda,Titvi Tanda,2020-04-19,Ongoing,2135658,Godavari Conservation Trust
PRJ012,River Cleanup - Dhondegaon,Dhondegaon,2018-06-28,Ongoing,2289445,Maharashtra Forest Department
PRJ013,River Cleanup - Tigaon,Tigaon,2023-11-07,Ongoing,1971160,District Environment Cell
PRJ014,School Biodiversity Program - Pimpalgaon,Pimpalgaon,2018-08-06,Completed,282756,BNHS Regional Unit
PRJ015,Butterfly Garden - Karjule,Karjule,2021-07-21,Ongoing,1725563,Godavari Conservation Trust
PRJ016,Wetland Restoration - Karjule Pathar,Karjule Pathar,2017-01-30,Ongoing,2337449,Rotary Club Kopargaon
PRJ017,School Biodiversity Program - Chandanapuri,Chandanapuri,2025-02-21,Completed,1292760,BNHS Regional Unit
PRJ018,School Biodiversity Program - Titvi Khurd,Titvi Khurd,2019-01-12,Completed,670404,Rotary Club Kopargaon
PRJ019,Bird Census - Sangamner Vasti,Sangamner Vasti,2018-05-06,Ongoing,815547,BNHS Regional Unit
PRJ020,Community Awareness Drive - Tigaon Wadi,Tigaon Wadi,2025-07-01,On Hold,1396177,District Environment Cell
PRJ021,Butterfly Garden - Kokamthan Vasti,Kokamthan Vasti,2023-05-06,Ongoing,899415,BNHS Regional Unit
PRJ022,Anti-Poaching Patrol - Shrirampur,Shrirampur,2025-05-30,Ongoing,2036000,BNHS Regional Unit
PRJ023,School Biodiversity Program - Vari,Vari,2023-03-22,On Hold,1669126,Kopargaon Nagar Parishad
PRJ024,Tree Plantation - Bhendi Budruk,Bhendi Budruk,2018-12-01,Completed,1205254,Kopargaon Nagar Parishad
PRJ025,Bird Census - Ozar,Ozar,2022-08-28,Completed,1415545,Godavari Conservation Trust
PRJ026,Wetland Restoration - Deolali Peth,Deolali Peth,2019-03-29,Ongoing,1591279,Godavari Conservation Trust
PRJ027,Wetland Restoration - Askheda Peth,Askheda Peth,2025-01-22,On Hold,1328359,Godavari Conservation Trust
PRJ028,Wetland Restoration - Bhendi Budruk,Bhendi Budruk,2024-04-21,Completed,634111,Kopargaon Nagar Parishad
PRJ029,Native Species Nursery - Hingangaon,Hingangaon,2018-03-16,Planned,326499,Maharashtra Forest Department
PRJ030,Native Species Nursery - Karjule Budruk,Karjule Budruk,2019-09-05,Completed,147964,District Environment Cell
PRJ031,Anti-Poaching Patrol - Ranjankhol,Ranjankhol,2025-12-18,On Hold,1211893,BNHS Regional Unit
