threat_id,latitude,longitude,village_id,threat_type,severity,date,description,image_filename,resolved
ENV0001,19.805058,74.455889,VLG049,Plastic Waste,High,2021-03-28,Identified during river patrol,ENV0001.jpg,True
ENV0002,19.85418,74.435003,VLG015,Encroachment,Critical,2025-08-15,Flagged via citizen report app,ENV0002.jpg,False
ENV0003,19.905034,74.451371,VLG047,Pesticide Runoff,Moderate,2018-04-30,Noted by forest officer,ENV0003.jpg,False
ENV0004,19.853333,74.3604,VLG024,Sand Mining,Moderate,2025-01-19,Reported by local resident,ENV0004.jpg,True
ENV0005,19.931257,74.416142,VLG062,Encroachment,Low,2024-01-23,Observed during field survey,ENV0005.jpg,True
ENV0006,19.927456,74.351267,VLG098,Plastic Waste,High,2020-04-05,Identified during river patrol,ENV0006.jpg,True
ENV0007,19.903673,74.498952,VLG018,Soil Erosion,Critical,2021-09-20,Noted by forest officer,ENV0007.jpg,False
ENV0008,19.863184,74.367264,VLG037,Pesticide Runoff,Moderate,2018-06-14,Observed during field survey,ENV0008.jpg,True
ENV0009,19.843593,74.408304,VLG042,Sewage Discharge,Low,2024-04-14,Identified during river patrol,ENV0009.jpg,True
ENV0010,19.814813,74.57369,VLG075,Invasive Species,High,2024-11-08,Flagged via citizen report app,ENV0010.jpg,True
ENV0011,19.83563,74.405567,VLG014,Sand Mining,High,2026-01-27,Identified during river patrol,ENV0011.jpg,True
ENV0012,19.830874,74.431194,VLG022,Plastic Waste,Low,2021-10-13,Noted by forest officer,ENV0012.jpg,False
ENV0013,19.884041,74.515135,VLG094,Pesticide Runoff,Critical,2019-03-21,Observed during field survey,ENV0013.jpg,False
ENV0014,19.896133,74.47497,VLG096,Invasive Species,High,2021-10-13,Flagged via citizen report app,ENV0014.jpg,False
ENV0015,19.930683,74.46416,VLG084,Illegal Tree Cutting,High,2024-04-29,Reported by local resident,ENV0015.jpg,False
ENV0016,19.911831,74.593562,VLG093,Plastic Waste,Moderate,2025-09-28,Reported by local resident,ENV0016.jpg,False
ENV0017,19.883063,74.468244,VLG031,Sewage Discharge,Critical,2016-12-29,Observed during field survey,ENV0017.jpg,False
ENV0018,19.89394,74.483737,VLG089,Pesticide Runoff,Low,2026-03-02,Reported by local resident,ENV0018.jpg,False
ENV0019,19.929978,74.539385,VLG052,Plastic Waste,High,2026-01-28,Flagged via citizen report app,ENV0019.jpg,True
ENV0020,19.873571,74.556059,VLG043,Sand Mining,Moderate,2020-04-08,Flagged via citizen report app,ENV0020.jpg,False
ENV0021,19.945836,74.529104,VLG097,Water Pollution,High,2025-01-01,Identified during river patrol,ENV0021.jpg,True
ENV0022,19.936094,74.596936,VLG067,Sewage Discharge,Critical,2017-01-25,Observed during field survey,ENV0022.jpg,True
ENV0023,19.827483,74.509457,VLG091,Soil Erosion,Low,2022-04-09,Noted by forest officer,ENV0023.jpg,True
ENV0024,19.896583,74.552313,VLG017,Water Pollution,Moderate,2020-10-08,Observed during field survey,ENV0024.jpg,False
ENV0025,19.840735,74.374019,VLG039,Water Pollution,Low,2019-08-01,Reported by local resident,ENV0025.jpg,True
ENV0026,19.80042,74.498363,VLG014,Plastic Waste,High,2021-01-03,Flagged via citizen report app,ENV0026.jpg,False
ENV0027,19.928456,74.463768,VLG064,Sand Mining,High,2018-06-16,Noted by forest officer,ENV0027.jpg,False
ENV0028,19.88209,74.403816,VLG012,Illegal Tree Cutting,Low,2018-02-21,Noted by forest officer,ENV0028.jpg,False
ENV0029,19.877865,74.542043,VLG089,Pesticide Runoff,Moderate,2016-11-04,Reported by local resident,ENV0029.jpg,False
ENV0030,19.862914,74.383184,VLG062,Pesticide Runoff,Low,2024-12-09,Flagged via citizen report app,ENV0030.jpg,True
ENV0031,19.913407,74.406615,VLG045,Sewage Discharge,Low,2022-05-25,Flagged via citizen report app,ENV0031.jpg,True
ENV0032,19.919083,74.559576,VLG041,Plastic Waste,Critical,2022-07-21,Identified during river patrol,ENV0032.jpg,False
ENV0033,19.910659,74.453436,VLG087,Illegal Tree Cutting,High,2022-12-28,Noted by forest officer,ENV0033.jpg,True
ENV0034,19.860107,74.587068,VLG097,Sand Mining,Low,2024-03-13,Flagged via citizen report app,ENV0034.jpg,True
ENV0035,19.826444,74.456145,VLG010,Invasive Species,Low,2025-02-03,Identified during river patrol,ENV0035.jpg,False
ENV0036,19.866886,74.471208,VLG036,Plastic Waste,Critical,2018-06-15,Observed during field survey,ENV0036.jpg,True
ENV0037,19.907448,74.524169,VLG052,Sewage Discharge,Low,2018-08-21,Observed during field survey,ENV0037.jpg,False
ENV0038,19.908171,74.380137,VLG046,Plastic Waste,High,2025-04-13,Identified during river patrol,ENV0038.jpg,False
ENV0039,19.863444,74.547371,VLG062,Sand Mining,High,2024-03-28,Flagged via citizen report app,ENV0039.jpg,False
ENV0040,19.85458,74.37652,VLG014,Pesticide Runoff,Critical,2018-08-31,Identified during river patrol,ENV0040.jpg,True
ENV0041,19.917932,74.481254,VLG012,Sewage Discharge,High,2024-12-31,Flagged via citizen report app,ENV0041.jpg,False
ENV0042,19.896864,74.351053,VLG046,Pesticide Runoff,Critical,2025-06-27,Observed during field survey,ENV0042.jpg,True
ENV0043,19.946399,74.49016,VLG071,Soil Erosion,Moderate,2019-03-23,Observed during field survey,ENV0043.jpg,False
ENV0044,19.863331,74.439196,VLG035,Sewage Discharge,Moderate,2025-04-11,Noted by forest officer,ENV0044.jpg,False
ENV0045,19.858885,74.504272,VLG048,Soil Erosion,Low,2018-11-17,Observed during field survey,ENV0045.jpg,False
ENV0046,19.82607,74.408759,VLG062,Sand Mining,Low,2022-02-16,Identified during river patrol,ENV0046.jpg,True
ENV0047,19.909557,74.536071,VLG072,Water Pollution,High,2024-06-11,Observed during field survey,ENV0047.jpg,False
ENV0048,19.882314,74.592353,VLG098,Fire,High,2018-03-26,Reported by local resident,ENV0048.jpg,True
ENV0049,19.911403,74.353976,VLG031,Encroachment,Low,2022-08-01,Reported by local resident,ENV0049.jpg,False
ENV0050,19.827417,74.37598,VLG044,Sand Mining,Low,2017-06-04,Noted by forest officer,ENV0050.jpg,True
ENV0051,19.83773,74.579238,VLG083,Water Pollution,Critical,2017-11-20,Flagged via citizen report app,ENV0051.jpg,False
