image_id,species_id,observation_id,filename,photographer,upload_date,gps_latitude,gps_longitude,image_category
IMG00001,SP0124,,IMG00001_SP0124.jpg,Swati Shinde,2018-07-14,19.926652,74.409446,Field Survey
IMG00002,SP0410,OBS010538,IMG00002_SP0410.jpg,Swati Bhosale,2020-10-21,19.835911,74.452189,Citizen Submission
IMG00003,SP0164,,IMG00003_SP0164.jpg,Rahul Deshpande,2018-08-20,19.910534,74.433015,Habitat
IMG00004,SP0350,,IMG00004_SP0350.jpg,Sneha Patil,2024-11-25,19.868779,74.574537,Field Survey
IMG00005,SP0189,,IMG00005_SP0189.jpg,Om Shinde,2018-12-16,19.822112,74.357883,Wildlife
IMG00006,SP0241,OBS011886,IMG00006_SP0241.jpg,Neha Pawar,2017-06-25,19.863837,74.561888,Flora
IMG00007,SP0070,OBS008117,IMG00007_SP0070.jpg,Om Bhosale,2018-03-03,19.92522,74.428544,Citizen Submission
IMG00008,SP0025,OBS007715,IMG00008_SP0025.jpg,Vikram Joshi,2018-04-30,19.800576,74.418905,Citizen Submission
IMG00009,SP0304,OBS017333,IMG00009_SP0304.jpg,Amit Kulkarni,2017-05-14,19.862925,74.542543,Field Survey
IMG00010,SP0357,OBS015180,IMG00010_SP0357.jpg,Kirti Kale,2025-06-29,19.876161,74.371134,Flora
IMG00011,SP0292,OBS012780,IMG00011_SP0292.jpg,Nikhil Pawar,2023-09-10,19.812006,74.518076,Field Survey
IMG00012,SP0012,,IMG00012_SP0012.jpg,Vikram Joshi,2024-03-06,19.945448,74.421591,Field Survey
IMG00013,SP0418,OBS006841,IMG00013_SP0418.jpg,Sneha More,2023-04-30,19.815373,74.416547,Citizen Submission
IMG00014,SP0279,OBS003541,IMG00014_SP0279.jpg,Neha Pawar,2017-03-06,19.808296,74.391261,Field Survey
IMG00015,SP0275,OBS017536,IMG00015_SP0275.jpg,Rahul Deshpande,2024-09-05,19.906779,74.593038,Habitat
IMG00016,SP0357,,IMG00016_SP0357.jpg,Kirti Kale,2025-11-30,19.915788,74.496204,Citizen Submission
IMG00017,SP0356,OBS008533,IMG00017_SP0356.jpg,Nikhil Pawar,2017-06-29,19.840526,74.427318,Habitat
IMG00018,SP0237,,IMG00018_SP0237.jpg,Nikhil Deshpande,2018-01-06,19.86619,74.494329,Water Body
IMG00019,SP0357,OBS007208,IMG00019_SP0357.jpg,Rahul Pawar,2025-10-26,19.82623,74.505054,Citizen Submission
IMG00020,SP0005,OBS009255,IMG00020_SP0005.jpg,Sandeep More,2023-11-29,19.845778,74.374521,Citizen Submission
IMG00021,SP0231,OBS006203,IMG00021_SP0231.jpg,Priyanka More,2024-04-17,19.8024,74.447016,Wildlife
IMG00022,SP0325,OBS004251,IMG00022_SP0325.jpg,Pooja Shinde,2025-11-29,19.832013,74.473809,Citizen Submission
IMG00023,SP0031,OBS015473,IMG00023_SP0031.jpg,Nikhil Deshpande,2023-12-15,19.821318,74.503413,Wildlife
IMG00024,SP0331,,IMG00024_SP0331.jpg,Amit Kulkarni,2021-11-16,19.8512,74.430264,Citizen Submission
IMG00025,SP0334,OBS017977,IMG00025_SP0334.jpg,Amit Kale,2019-02-19,19.809875,74.350386,Citizen Submission
IMG00026,SP0318,OBS015064,IMG00026_SP0318.jpg,Vikram Jadhav,2022-11-25,19.926735,74.423946,Habitat
IMG00027,SP0189,OBS019594,IMG00027_SP0189.jpg,Nikhil Pawar,2026-07-29,19.830075,74.486008,Flora
IMG00028,SP0004,OBS010884,IMG00028_SP0004.jpg,Swati Shinde,2020-01-20,19.80171,74.5491,Field Survey
IMG00029,SP0260,OBS016481,IMG00029_SP0260.jpg,Rajesh Kulkarni,2026-07-01,19.927021,74.541907,Citizen Submission
IMG00030,SP0017,,IMG00030_SP0017.jpg,Om Shinde,2020-11-13,19.857857,74.402777,Water Body
IMG00031,SP0406,OBS006051,IMG00031_SP0406.jpg,Vikram Joshi,2019-07-24,19.914018,74.451643,Flora
IMG00032,SP0237,OBS018460,IMG00032_SP0237.jpg,Om Shinde,2022-04-14,19.8791,74.598113,Wildlife
IMG00033,SP0404,,IMG00033_SP0404.jpg,Amit Kulkarni,2019-12-02,19.852646,74.400276,Wildlife
IMG00034,SP0402,OBS017032,IMG00034_SP0402.jpg,Sneha Patil,2024-12-25,19.882026,74.354549,Field Survey
IMG00035,SP0029,OBS005045,IMG00035_SP0029.jpg,Kirti Kulkarni,2024-10-13,19.912713,74.46205,Flora
IMG00036,SP0422,OBS004834,IMG00036_SP0422.jpg,Om Bhosale,2022-03-26,19.89852,74.51653,Flora
IMG00037,SP0083,,IMG00037_SP0083.jpg,Nikhil Deshpande,2022-10-03,19.881168,74.474394,Field Survey
IMG00038,SP0410,OBS002641,IMG00038_SP0410.jpg,Sneha Patil,2022-09-11,19.924596,74.381871,Flora
IMG00039,SP0168,,IMG00039_SP0168.jpg,Swati Shinde,2023-08-11,19.896991,74.359893,Water Body
IMG00040,SP0056,OBS016078,IMG00040_SP0056.jpg,Sandeep More,2025-10-17,19.862913,74.49439,Wildlife
IMG00041,SP0325,OBS003212,IMG00041_SP0325.jpg,Neha Pawar,2022-04-21,19.814093,74.496531,Water Body
IMG00042,SP0232,OBS001817,IMG00042_SP0232.jpg,Vikram Joshi,2024-07-16,19.827873,74.511829,Wildlife
IMG00043,SP0432,,IMG00043_SP0432.jpg,Rajesh Kulkarni,2020-02-01,19.840924,74.424069,Citizen Submission
IMG00044,SP0343,OBS015133,IMG00044_SP0343.jpg,Rahul Deshpande,2024-05-18,19.888661,74.494139,Water Body
IMG00045,SP0102,OBS008424,IMG00045_SP0102.jpg,Priyanka Patil,2017-08-11,19.858897,74.539954,Wildlife
IMG00046,SP0259,,IMG00046_SP0259.jpg,Swati Shinde,2023-01-04,19.810949,74.54512,Field Survey
IMG00047,SP0022,,IMG00047_SP0022.jpg,Nikhil Pawar,2019-04-01,19.801743,74.540519,Citizen Submission
IMG00048,SP0119,OBS015465,IMG00048_SP0119.jpg,Tejas Jadhav,2022-07-07,19.827567,74.362381,Field Survey
IMG00049,SP0110,OBS013019,IMG00049_SP0110.jpg,Vikram Joshi,2018-06-14,19.889561,74.437471,Wildlife
IMG00050,SP0453,OBS016692,IMG00050_SP0453.jpg,Kirti Kale,2016-08-19,19.802308,74.417779,Water Body
IMG00051,SP0252,OBS005920,IMG00051_SP0252.jpg,Nikhil Pawar,2018-05-09,19.8059,74.534624,Wildlife
IMG00052,SP0352,OBS009241,IMG00052_SP0352.jpg,Priyanka Patil,2021-02-02,19.921017,74.373474,Citizen Submission
IMG00053,SP0127,,IMG00053_SP0127.jpg,Om Shinde,2026-04-24,19.88337,74.458859,Field Survey
IMG00054,SP0408,,IMG00054_SP0408.jpg,Aarti Joshi,2017-11-04,19.934253,74.537024,Wildlife
