cell_id,latitude,longitude,land_cover_type,vegetation_density,forest_percentage,water_percentage,urban_percentage
LC00001,19.884317,74.464138,Grassland,0.84,16.6,3.9,14.9
LC00002,19.901217,74.373847,Agricultural Land,0.659,9.0,5.4,9.2
LC00003,19.85776,74.433869,Grassland,0.39,15.3,2.1,14.2
LC00004,19.93246,74.388604,Forest/Grove,0.344,80.9,3.0,1.6
LC00005,19.843174,74.364058,Urban/Built-up,0.408,17.4,0.1,55.1
LC00006,19.872563,74.448652,Forest/Grove,0.12,91.9,7.7,10.4
LC00007,19.863826,74.56094,Grassland,0.561,11.9,3.8,5.7
LC00008,19.800079,74.579252,Grassland,0.724,15.6,5.4,4.6
LC00009,19.905658,74.39285,Forest/Grove,0.096,52.4,3.7,9.0
LC00010,19.904034,74.46277,Agricultural Land,0.185,11.3,3.9,9.5
LC00011,19.840019,74.599611,Urban/Built-up,0.345,8.9,1.0,85.7
LC00012,19.856731,74.599498,Agricultural Land,0.354,19.0,3.5,1.8
LC00013,19.808283,74.372425,Agricultural Land,0.665,14.7,3.9,4.7
LC00014,19.947617,74.386815,Forest/Grove,0.674,62.4,3.1,6.2
LC00015,19.879884,74.569853,Barren/Fallow,0.771,1.2,2.1,10.2
LC00016,19.814379,74.365096,Agricultural Land,0.752,3.3,5.8,4.6
LC00017,19.802079,74.452515,Barren/Fallow,0.812,8.7,0.8,0.2
LC00018,19.903765,74.467419,Water Body,0.444,9.7,64.1,0.6
LC00019,19.890574,74.495919,Agricultural Land,0.588,19.3,0.1,9.6
LC00020,19.897421,74.367811,Grassland,0.611,11.0,0.1,13.7
LC00021,19.856096,74.426098,Barren/Fallow,0.399,17.0,5.7,9.1
LC00022,19.93925,74.588305,Barren/Fallow,0.487,17.2,1.9,12.3
LC00023,19.9179,74.45449,Urban/Built-up,0.507,9.8,4.4,73.2
LC00024,19.835838,74.517934,Agricultural Land,0.814,10.8,6.7,6.9
LC00025,19.879923,74.571877,Wetland,0.633,17.5,58.5,1.2
LC00026,19.847553,74.393813,Agricultural Land,0.234,11.1,5.2,12.2
LC00027,19.866352,74.437144,Barren/Fallow,0.796,14.8,6.7,8.7
LC00028,19.910272,74.523654,Agricultural Land,0.548,8.1,6.0,11.6
LC00029,19.928105,74.583075,Wetland,0.908,15.5,48.3,14.7
LC00030,19.802976,74.377508,Agricultural Land,0.821,2.2,5.2,13.3
LC00031,19.92298,74.444293,Agricultural Land,0.15,13.4,1.8,11.8
LC00032,19.88317,74.464967,Agricultural Land,0.653,0.2,6.6,0.9
LC00033,19.883851,74.495364,Forest/Grove,0.246,45.6,7.0,5.3
LC00034,19.836821,74.496764,Forest/Grove,0.545,73.9,7.2,9.3
LC00035,19.864714,74.486356,Grassland,0.561,5.2,0.4,2.4
LC00036,19.889754,74.401982,Agricultural Land,0.185,10.0,5.8,13.4
LC00037,19.915658,74.538055,Agricultural Land,0.843,4.3,4.0,8.4
LC00038,19.939441,74.522197,Agricultural Land,0.257,19.5,4.3,5.0
LC00039,19.858352,74.402311,Urban/Built-up,0.299,3.5,4.5,97.2
LC00040,19.81082,74.442189,Agricultural Land,0.384,1.2,1.2,1.0
LC00041,19.847138,74.362076,Water Body,0.318,8.0,93.6,9.8
LC00042,19.897513,74.423094,Grassland,0.181,5.7,0.9,12.7
LC00043,19.87282,74.446388,Agricultural Land,0.245,16.0,2.9,10.1
LC00044,19.926471,74.471725,Agricultural Land,0.747,17.4,7.9,0.3
LC00045,19.940257,74.581393,Grassland,0.237,12.5,2.6,7.4
LC00046,19.907808,74.360846,Agricultural Land,0.673,8.1,4.9,2.0
