month,year,bird_species,mammal_species,reptile_species,butterfly_species,plant_species,total_species
8,2016,39,16,13,20,37,153
9,2016,28,13,13,15,37,132
10,2016,32,11,13,18,49,150
11,2016,33,13,11,17,43,145
12,2016,34,13,10,11,41,128
1,2017,30,9,12,14,37,127
2,2017,36,7,9,19,44,140
3,2017,23,11,11,16,52,131
4,2017,35,11,12,17,45,155
5,2017,28,16,5,16,49,137
6,2017,32,9,14,12,41,134
7,2017,30,12,6,19,45,142
8,2017,33,9,8,12,42,135
9,2017,32,10,8,16,42,138
10,2017,37,7,10,22,45,140
11,2017,23,11,10,19,48,130
12,2017,30,7,8,14,38,121
1,2018,32,9,6,17,49,141
2,2018,26,14,9,12,40,125
3,2018,24,12,8,16,52,141
4,2018,38,11,10,17,34,134
5,2018,38,9,12,25,43,161
6,2018,28,10,4,19,37,124
7,2018,34,9,14,17,44,138
8,2018,32,12,11,23,47,151
9,2018,36,7,10,18,60,160
10,2018,28,11,16,16,53,147
11,2018,25,9,8,23,45,142
12,2018,31,6,11,19,51,142
1,2019,32,11,13,18,35,140
2,2019,30,14,3,19,38,126
3,2019,30,12,11,20,47,147
4,2019,32,12,9,22,41,141
5,2019,30,9,5,20,49,143
6,2019,29,6,9,15,41,127
7,2019,43,8,7,23,43,152
8,2019,34,11,8,20,45,139
9,2019,36,10,4,24,38,140
10,2019,30,11,5,18,48,138
11,2019,32,8,11,16,50,139
12,2019,32,15,11,22,52,161
1,2020,18,11,13,16,38,120
2,2020,37,8,12,13,43,139
3,2020,32,12,10,19,46,147
4,2020,29,13,6,13,45,137
5,2020,34,13,8,19,47,148
6,2020,29,14,16,17,53,154
7,2020,31,13,12,17,42,136
8,2020,25,6,6,20,52,133
9,2020,41,13,8,17,41,145
10,2020,35,8,15,19,50,147
11,2020,40,12,11,16,51,157
12,2020,20,12,7,16,50,137
1,2021,33,12,11,19,50,153
2,2021,23,9,11,15,41,121
3,2021,36,9,10,19,46,141
4,2021,35,10,11,21,37,140
5,2021,37,12,8,21,41,144
6,2021,30,13,14,18,36,136
7,2021,24,11,14,20,39,139
8,2021,29,14,13,25,48,161
9,2021,36,7,5,17,49,141
10,2021,35,11,5,22,36,135
11,2021,35,12,11,16,48,142
12,2021,32,14,6,19,39,137
1,2022,33,13,11,15,27,125
2,2022,21,10,14,9,45,129
3,2022,33,2,7,20,40,128
4,2022,23,14,8,13,41,110
5,2022,37,8,10,21,42,147
6,2022,26,9,12,16,41,125
7,2022,37,7,11,12,45,137
8,2022,38,11,6,19,45,137
9,2022,28,16,13,19,41,140
10,2022,31,13,8,16,45,141
11,2022,29,12,9,21,59,151
12,2022,35,13,14,22,45,153
1,2023,28,10,11,19,42,129
2,2023,31,10,11,17,36,136
3,2023,38,14,12,16,44,153
4,2023,29,10,10,14,48,139
5,2023,31,8,11,16,48,143
6,2023,33,13,9,14,42,146
7,2023,19,12,12,18,37,130
8,2023,25,8,8,17,42,125
9,2023,33,7,10,10,46,129
10,2023,33,12,11,19,45,152
11,2023,20,10,12,17,44,129
12,2023,32,16,10,22,48,158
1,2024,31,16,11,18,48,152
2,2024,29,12,9,15,42,130
3,2024,33,10,10,19,44,144
4,2024,35,12,4,15,51,138
5,2024,26,18,12,16,44,143
6,2024,28,10,4,15,47,128
7,2024,33,11,7,15,39,131
8,2024,34,8,11,17,48,142
9,2024,19,12,7,14,44,119
10,2024,33,12,11,16,41,135
11,2024,34,10,12,17,30,126
12,2024,28,11,7,13,52,135
1,2025,32,14,10,19,39,139
2,2025,24,10,13,20,38,132
3,2025,26,7,13,19,44,131
4,2025,30,11,12,17,49,136
5,2025,33,12,14,19,49,154
6,2025,31,11,7,15,41,139
7,2025,34,10,11,18,49,146
8,2025,32,9,7,18,35,133
9,2025,31,12,8,9,38,128
10,2025,37,12,10,23,40,154
11,2025,27,13,8,11,49,131
12,2025,37,16,12,24,40,158
1,2026,33,9,13,20,46,148
2,2026,32,13,13,16,53,152
3,2026,30,18,9,14,43,146
4,2026,33,10,8,15,51,148
5,2026,37,14,12,20,53,162
6,2026,27,8,11,22,39,129
7,2026,26,13,12,22,45,146
8,2026,5,3,3,3,15,37
