ndvi_id,latitude,longitude,date,ndvi,vegetation_health
NDVI00001,19.862109,74.357591,2022-10-03,0.53,Healthy
NDVI00002,19.935242,74.445133,2018-06-26,0.194,Sparse
NDVI00003,19.911282,74.404336,2018-01-06,-0.118,Bare/Water
NDVI00004,19.813323,74.563239,2024-06-27,0.625,Healthy
NDVI00005,19.893855,74.584624,2018-06-26,0.182,Sparse
NDVI00006,19.846739,74.356809,2025-06-18,0.337,Moderate
NDVI00007,19.825144,74.560914,2024-11-05,0.279,Sparse
NDVI00008,19.906602,74.544811,2024-04-29,0.262,Sparse
NDVI00009,19.801547,74.514866,2017-06-12,0.15,Sparse
NDVI00010,19.809645,74.450088,2022-03-25,-0.138,Bare/Water
NDVI00011,19.875666,74.373477,2020-11-16,0.231,Sparse
NDVI00012,19.821992,74.41248,2026-03-15,-0.019,Bare/Water
NDVI00013,19.920111,74.366321,2018-08-26,0.82,Very Healthy
NDVI00014,19.932021,74.393424,2017-07-09,0.171,Sparse
NDVI00015,19.948085,74.472767,2025-04-27,0.187,Sparse
NDVI00016,19.916057,74.521189,2020-04-22,-0.094,Bare/Water
NDVI00017,19.898401,74.544001,2018-05-29,0.313,Moderate
NDVI00018,19.933142,74.582211,2026-05-27,0.343,Moderate
NDVI00019,19.916642,74.539712,2020-09-23,0.561,Healthy
NDVI00020,19.933585,74.556803,2024-10-26,0.535,Healthy
NDVI00021,19.918529,74.395929,2024-07-20,0.52,Healthy
NDVI00022,19.869302,74.564946,2023-01-13,0.108,Sparse
NDVI00023,19.874865,74.481143,2022-02-28,-0.106,Bare/Water
NDVI00024,19.8482,74.360929,2020-05-23,0.256,Sparse
NDVI00025,19.844449,74.573394,2021-02-08,0.102,Sparse
NDVI00026,19.944703,74.492626,2024-12-02,0.098,Bare/Water
NDVI00027,19.855626,74.421954,2025-12-26,0.077,Bare/Water
NDVI00028,19.820726,74.389667,2021-12-22,0.036,Bare/Water
NDVI00029,19.81417,74.445648,2022-06-25,0.449,Moderate
NDVI00030,19.874587,74.444433,2020-12-29,0.061,Bare/Water
NDVI00031,19.80312,74.391159,2024-01-18,-0.101,Bare/Water
NDVI00032,19.826626,74.446679,2024-08-12,0.34,Moderate
NDVI00033,19.850547,74.367024,2016-10-30,0.483,Moderate
NDVI00034,19.812698,74.452558,2018-08-08,0.587,Healthy
NDVI00035,19.904294,74.386441,2016-08-09,0.275,Sparse
NDVI00036,19.895758,74.551038,2021-12-21,0.032,Bare/Water
NDVI00037,19.949593,74.361299,2017-03-20,-0.124,Bare/Water
NDVI00038,19.817554,74.395544,2023-02-27,0.016,Bare/Water
NDVI00039,19.919276,74.496321,2024-10-20,0.415,Moderate
NDVI00040,19.818078,74.359357,2020-06-03,0.134,Sparse
NDVI00041,19.877858,74.48039,2025-03-26,0.006,Bare/Water
NDVI00042,19.908325,74.587525,2024-01-14,-0.154,Bare/Water
NDVI00043,19.885258,74.536599,2016-09-28,0.625,Healthy
NDVI00044,19.816858,74.37921,2018-11-23,0.386,Moderate
NDVI00045,19.928201,74.5674,2021-10-20,0.523,Healthy
NDVI00046,19.919961,74.536931,2024-10-22,0.511,Healthy
NDVI00047,19.870349,74.514695,2021-10-17,0.624,Healthy
NDVI00048,19.816763,74.566129,2024-01-21,-0.011,Bare/Water
NDVI00049,19.902218,74.475875,2018-06-22,0.321,Moderate
NDVI00050,19.816606,74.576482,2025-12-04,0.17,Sparse
NDVI00051,19.878351,74.454654,2018-07-17,0.566,Healthy
NDVI00052,19.918708,74.352497,2019-12-15,0.084,Bare/Water
NDVI00053,19.945726,74.574698,2020-04-28,-0.109,Bare/Water
NDVI00054,19.82013,74.393295,2023-05-29,0.357,Moderate
NDVI00055,19.815007,74.59375,2023-04-27,-0.255,Bare/Water
NDVI00056,19.934643,74.468171,2021-07-23,0.548,Healthy
NDVI00057,19.90304,74.597884,2024-08-29,0.611,Healthy
NDVI00058,19.809619,74.382861,2021-05-04,-0.004,Bare/Water
NDVI00059,19.810955,74.558693,2018-06-24,0.592,Healthy
NDVI00060,19.897489,74.526169,2026-03-17,-0.107,Bare/Water
NDVI00061,19.933095,74.498371,2024-10-01,0.779,Very Healthy
NDVI00062,19.862484,74.574025,2018-07-16,0.436,Moderate
NDVI00063,19.898218,74.388141,2024-10-10,0.58,Healthy
NDVI00064,19.88839,74.544989,2024-07-20,0.387,Moderate
NDVI00065,19.909054,74.359037,2024-09-18,0.467,Moderate
NDVI00066,19.897434,74.51365,2021-02-06,-0.299,Bare/Water
NDVI00067,19.933529,74.575573,2017-03-03,-0.197,Bare/Water
NDVI00068,19.842213,74.570509,2024-10-29,0.291,Sparse
NDVI00069,19.84911,74.548992,2020-05-11,0.306,Moderate
NDVI00070,19.842361,74.574335,2024-02-15,-0.239,Bare/Water
