protected_area_id,name,type,latitude,longitude,area_sqkm,established_year,managing_authority
PA001,Chaskaon Khurd Sacred Grove,Sacred Grove,19.843945,74.4969,1.949,2001,District Collectorate - Ahmednagar
PA002,Sangamner Vasti Reserved Forest,Reserved Forest,19.92945,74.417458,0.707,1994,District Collectorate - Ahmednagar
PA003,Hingangaon Wildlife Corridor,Wildlife Corridor,19.930453,74.530304,4.149,2014,Kopargaon Gram Panchayat Union
PA004,Ranjankhol Reserved Forest,Reserved Forest,19.836818,74.363861,4.057,2016,Godavari River Basin Authority
PA005,Chandanapuri Peth Reserved Forest,Reserved Forest,19.928875,74.396617,4.889,2013,District Collectorate - Ahmednagar
PA006,Dahigaon Wildlife Corridor,Wildlife Corridor,19.925573,74.440772,3.915,2021,District Collectorate - Ahmednagar
PA007,Pipalgaon Riverfront Buffer Zone,Riverfront Buffer Zone,19.946058,74.53764,4.695,1987,Local Biodiversity Management Committee
PA008,Ranjankhol Wetland Conservation Reserve,Wetland Conservation Reserve,19.913379,74.533521,1.575,2019,District Collectorate - Ahmednagar
PA009,Karjule Sacred Grove,Sacred Grove,19.894998,74.451783,0.058,2016,District Collectorate - Ahmednagar
PA010,Chandanapuri Budruk Wetland Conservation Reserve,Wetland Conservation Reserve,19.818342,74.370863,3.223,1999,Kopargaon Gram Panchayat Union
PA011,Songaon Wetland Conservation Reserve,Wetland Conservation Reserve,19.867228,74.52167,1.981,2013,District Collectorate - Ahmednagar
PA012,Shrirampur Tanda Wildlife Corridor,Wildlife Corridor,19.862199,74.437049,3.551,2008,Maharashtra Forest Department
PA013,Aloli Wildlife Corridor,Wildlife Corridor,19.879252,74.450495,5.404,1991,Local Biodiversity Management Committee
PA014,Hingangaon Sacred Grove,Sacred Grove,19.860641,74.396978,7.231,1986,District Collectorate - Ahmednagar
PA015,Askheda Peth Sacred Grove,Sacred Grove,19.807173,74.565875,1.814,2011,Godavari River Basin Authority
PA016,Ranjankhol Wetland Conservation Reserve,Wetland Conservation Reserve,19.869139,74.416829,0.197,1996,Godavari River Basin Authority
PA017,Kasabe Reserved Forest,Reserved Forest,19.908753,74.577325,7.272,1999,Maharashtra Forest Department
PA018,Aloli Peth Wildlife Corridor,Wildlife Corridor,19.821091,74.597019,6.015,2021,Maharashtra Forest Department
PA019,Bhendi Budruk Wildlife Corridor,Wildlife Corridor,19.81006,74.35826,5.872,2004,Maharashtra Forest Department
PA020,Titvi Tanda Reserved Forest,Reserved Forest,19.869947,74.397304,0.829,1989,Maharashtra Forest Department
PA021,Tigaon Wadi Reserved Forest,Reserved Forest,19.937715,74.550308,4.062,2012,Maharashtra Forest Department
PA022,Rahata Tanda Wildlife Corridor,Wildlife Corridor,19.85823,74.59866,7.855,1986,Godavari River Basin Authority
PA023,Kokamthan Vasti Wetland Conservation Reserve,Wetland Conservation Reserve,19.824227,74.493949,3.747,2023,District Collectorate - Ahmednagar
PA024,Bhendi Vasti Wetland Conservation Reserve,Wetland Conservation Reserve,19.90821,74.394811,0.877,2001,Maharashtra Forest Department
PA025,Karjule Reserved Forest,Reserved Forest,19.803694,74.51774,3.436,2009,Maharashtra Forest Department
PA026,Pimpalgaon Wildlife Corridor,Wildlife Corridor,19.810202,74.47836,3.969,2012,Maharashtra Forest Department
PA027,Rahata Sacred Grove,Sacred Grove,19.839861,74.419451,6.527,1992,Kopargaon Gram Panchayat Union
PA028,Pohegaon Wetland Conservation Reserve,Wetland Conservation Reserve,19.938071,74.599376,7.751,2012,Maharashtra Forest Department
PA029,Dahigaon Vasti Reserved Forest,Reserved Forest,19.930949,74.370634,5.129,2013,Godavari River Basin Authority
PA030,Chaskaon Khurd Wetland Conservation Reserve,Wetland Conservation Reserve,19.851929,74.525868,2.837,2001,Maharashtra Forest Department
