species_id,common_name,scientific_name,kingdom,phylum,class,order,family,genus,species,category,iucn_status,habitat,endemic,invasive,medicinal,pollinator,nocturnal,flowering_season,breeding_season,diet,average_lifespan_years,conservation_status,description,image_filename
SP0001,House Sparrow,Passer domesticus,Animalia,Chordata,Aves,Passeriformes (var.),Passeridae,Passer,domesticus,Birds,Least Concern,Urban Garden,False,True,False,False,False,N/A,Jun-Sep,Omnivore,6,Increasing,"House Sparrow (Passer domesticus) is a bird species recorded in the Kopargaon region, typically associated with temple grove habitat.",SP0001_Passer_domesticus.jpg
SP0002,Common Myna,Acridotheres tristis,Animalia,Chordata,Aves,Passeriformes (var.),Acridotheresidae,Acridotheres,tristis,Birds,Endangered,Wetland,False,False,False,False,False,N/A,Year-round,Granivore,10,Stable,"Common Myna (Acridotheres tristis) is a bird species recorded in the Kopargaon region, typically associated with canal habitat.",SP0002_Acridotheres_tristis.jpg
SP0003,Indian Peafowl,Pavo cristatus,Animalia,Chordata,Aves,Passeriformes (var.),Pavoidae,Pavo,cristatus,Birds,Near Threatened,Wetland,False,False,False,True,False,N/A,Dec-Feb,Omnivore,19,Stable,"Indian Peafowl (Pavo cristatus) is a bird species recorded in the Kopargaon region, typically associated with canal habitat.",SP0003_Pavo_cristatus.jpg
SP0004,Rock Pigeon,Columba livia,Animalia,Chordata,Aves,Passeriformes (var.),Columbaidae,Columba,livia,Birds,Least Concern,Grassland,False,False,False,False,False,N/A,Sep-Dec,Carnivore,7,Stable,"Rock Pigeon (Columba livia) is a bird species recorded in the Kopargaon region, typically associated with agricultural field habitat.",SP0004_Columba_livia.jpg
SP0005,Spotted Dove,Spilopelia chinensis,Animalia,Chordata,Aves,Passeriformes (var.),Spilopeliaidae,Spilopelia,chinensis,Birds,Vulnerable,Godavari River,False,False,False,False,False,N/A,Sep-Dec,Nectarivore,3,Under Watch,"Spotted Dove (Spilopelia chinensis) is a bird species recorded in the Kopargaon region, typically associated with grassland habitat.",SP0005_Spilopelia_chinensis.jpg
SP0006,Laughing Dove,Spilopelia senegalensis,Animalia,Chordata,Aves,Passeriformes (var.),Spilopeliaidae,Spilopelia,senegalensis,Birds,Not Evaluated,Wetland,False,False,False,False,False,N/A,Sep-Dec,Insectivore,6,Increasing,"Laughing Dove (Spilopelia senegalensis) is a bird species recorded in the Kopargaon region, typically associated with canal habitat.",SP0006_Spilopelia_senegalensis.jpg
SP0007,Black Kite,Milvus migrans,Animalia,Chordata,Aves,Passeriformes (var.),Milvusidae,Milvus,migrans,Birds,Vulnerable,Wetland,False,False,False,False,False,N/A,Dec-Feb,Granivore,4,Stable,"Black Kite (Milvus migrans) is a bird species recorded in the Kopargaon region, typically associated with grassland habitat.",SP0007_Milvus_migrans.jpg
SP0008,Indian Pond Heron,Ardeola grayii,Animalia,Chordata,Aves,Passeriformes (var.),Ardeolaidae,Ardeola,grayii,Birds,Least Concern,Urban Garden,False,True,False,False,False,N/A,Sep-Dec,Granivore,18,Increasing,"Indian Pond Heron (Ardeola grayii) is a bird species recorded in the Kopargaon region, typically associated with grassland habitat.",SP0008_Ardeola_grayii.jpg
SP0009,Cattle Egret,Bubulcus ibis,Animalia,Chordata,Aves,Passeriformes (var.),Bubulcusidae,Bubulcus,ibis,Birds,Least Concern,Temple Grove,True,False,False,False,False,N/A,Sep-Dec,Carnivore,9,Stable,"Cattle Egret (Bubulcus ibis) is a bird species recorded in the Kopargaon region, typically associated with urban garden habitat.",SP0009_Bubulcus_ibis.jpg
SP0010,Little Egret,Egretta garzetta,Animalia,Chordata,Aves,Passeriformes (var.),Egrettaidae,Egretta,garzetta,Birds,Least Concern,Agricultural Field,False,False,False,False,False,N/A,Jun-Sep,Insectivore,19,Stable,"Little Egret (Egretta garzetta) is a bird species recorded in the Kopargaon region, typically associated with urban garden habitat.",SP0010_Egretta_garzetta.jpg
SP0011,Great Egret,Ardea alba,Animalia,Chordata,Aves,Passeriformes (var.),Ardeaidae,Ardea,alba,Birds,Least Concern,Temple Grove,False,False,False,True,False,N/A,Mar-Jun,Frugivore,9,Increasing,"Great Egret (Ardea alba) is a bird species recorded in the Kopargaon region, typically associated with urban garden habitat.",SP0011_Ardea_alba.jpg
SP0012,Intermediate Egret,Ardea intermedia,Animalia,Chordata,Aves,Passeriformes (var.),Ardeaidae,Ardea,intermedia,Birds,Vulnerable,Canal,False,False,False,False,False,N/A,Jun-Sep,Insectivore,5,Declining,"Intermediate Egret (Ardea intermedia) is a bird species recorded in the Kopargaon region, typically associated with godavari river habitat.",SP0012_Ardea_intermedia.jpg
SP0013,Black-headed Ibis,Threskiornis melanocephalus,Animalia,Chordata,Aves,Passeriformes (var.),Threskiornisidae,Threskiornis,melanocephalus,Birds,Least Concern,Grassland,False,False,False,True,False,N/A,Jun-Sep,Carnivore,10,Stable,"Black-headed Ibis (Threskiornis melanocephalus) is a bird species recorded in the Kopargaon region, typically associated with grassland habitat.",SP0013_Threskiornis_melanocephalus.jpg
SP0014,Painted Stork,Mycteria leucocephala,Animalia,Chordata,Aves,Passeriformes (var.),Mycteriaidae,Mycteria,leucocephala,Birds,Least Concern,Wetland,False,False,False,True,False,N/A,Dec-Feb,Frugivore,2,Stable,"Painted Stork (Mycteria leucocephala) is a bird species recorded in the Kopargaon region, typically associated with temple grove habitat.",SP0014_Mycteria_leucocephala.jpg
