village_id,village_name,latitude,longitude,population,forest_area_ha,water_bodies_count,biodiversity_score
VLG001,Musalwadi,19.936257,74.484807,12153,70.07,5,5.78
VLG002,Nandur Tanda,19.87282,74.545753,11181,145.67,0,3.91
VLG003,Sangamner Vasti,19.828742,74.546569,8225,95.61,3,5.17
VLG004,Shrirampur Tanda,19.831762,74.513069,11165,99.72,2,4.96
VLG005,Bhojade Budruk,19.860683,74.517234,613,130.77,1,6.01
VLG006,Tigaon,19.855636,74.439903,8987,84.66,1,9.39
VLG007,Bhendi Budruk,19.914541,74.451169,12287,134.46,4,5.56
VLG008,Loni,19.876565,74.567062,6336,103.66,5,8.55
VLG009,Kolpewadi Vasti,19.880128,74.525535,14892,125.79,0,7.07
VLG010,Aloli,19.921389,74.548059,4997,102.87,6,3.51
VLG011,Songaon Pathar,19.812183,74.387496,10621,50.63,0,2.45
VLG012,Songaon,19.852556,74.364373,9531,101.86,2,2.68
VLG013,Bramhangaon Wadi,19.863747,74.481098,10858,36.65,2,6.9
VLG014,Dahigaon Peth,19.928508,74.464705,1856,120.64,1,7.93
VLG015,Chaskaon,19.882851,74.483837,11356,2.78,1,4.16
VLG016,Ranjankhol,19.86012,74.363583,7622,77.45,1,3.11
VLG017,Chandanapuri Budruk,19.85549,74.461846,7032,101.51,5,8.17
VLG018,Wadgaon,19.882471,74.38188,10831,45.03,2,7.51
VLG019,Pohegaon,19.830533,74.593541,1727,36.91,4,9.45
VLG020,Titvi Khurd,19.840348,74.527595,1503,115.98,3,9.31
VLG021,Dhondegaon,19.900093,74.542511,5100,73.11,6,8.43
VLG022,Rahata Tanda,19.890669,74.380296,3221,146.5,6,5.37
VLG023,Karjule,19.82202,74.528407,14069,16.3,0,3.79
VLG024,Pimpalgaon,19.879747,74.595346,6700,97.69,1,7.47
VLG025,Musalwadi,19.828786,74.384245,6602,134.43,5,7.96
VLG026,Wadgaon,19.872152,74.382225,4020,148.25,3,6.59
VLG027,Aloli,19.860437,74.383478,2352,17.46,5,5.98
VLG028,Sonai Wadi,19.824867,74.556979,12819,22.71,6,8.58
VLG029,Askheda Khurd,19.836022,74.447324,8314,70.42,1,5.06
VLG030,Nandur,19.873038,74.398428,9370,113.66,6,8.81
VLG031,Kasabe,19.833603,74.481421,1497,113.41,3,2.96
VLG032,Musalwadi,19.942298,74.504183,15411,92.56,2,8.37
VLG033,Yeola Khurd,19.927828,74.446073,11999,8.5,0,4.85
VLG034,Loni,19.93752,74.396585,14767,40.45,6,7.46
VLG035,Nandur Peth,19.820714,74.39107,16388,44.58,1,5.15
VLG036,Karjule Budruk,19.90695,74.352676,16453,42.9,5,4.8
VLG037,Ozar,19.836389,74.384112,14906,111.41,3,2.76
VLG038,Chaskaon Khurd,19.932817,74.463446,11729,124.54,1,7.72
VLG039,Songaon,19.927943,74.528558,17108,114.91,3,7.55
VLG040,Dahigaon,19.808175,74.535299,3781,1.91,2,8.15
VLG041,Sangamner,19.88436,74.421822,8479,82.85,5,7.17
VLG042,Chas Wadi,19.923971,74.37984,5231,72.34,2,3.38
VLG043,Rahata Budruk,19.88542,74.394791,550,1.06,2,2.28
VLG044,Kokamthan Pathar,19.949146,74.565886,13816,36.91,6,3.49
VLG045,Bramhangaon,19.887135,74.437614,13001,47.88,4,4.26
VLG046,Kopargaon Peth,19.923573,74.545042,6318,37.63,3,5.7
VLG047,Hingangaon Budruk,19.812061,74.575154,13388,131.52,0,4.27
VLG048,Aloli Peth,19.809148,74.527482,12004,92.22,5,3.33
VLG049,Songaon,19.917371,74.393125,2145,57.9,5,5.78
VLG050,Karjule Pathar,19.834692,74.440668,802,74.39,6,8.68
VLG051,Sinnar,19.852168,74.359848,2768,54.88,4,4.45
VLG052,Shrirampur,19.856649,74.405771,7529,26.14,4,3.52
VLG053,Pathare,19.842774,74.545784,3762,132.66,1,4.68
VLG054,Aloli Pathar,19.891638,74.517365,9661,55.96,2,7.6
VLG055,Dhondegaon,19.933842,74.4586,2412,3.55,2,9.46
VLG056,Chas Vasti,19.917311,74.368618,10531,12.19,4,4.05
VLG057,Tigaon Wadi,19.836181,74.358484,597,43.11,4,4.99
VLG058,Pipalgaon Budruk,19.860128,74.573865,13091,107.33,2,7.45
VLG059,Songaon Budruk,19.862811,74.388563,7783,73.29,0,2.64
VLG060,Sangamner,19.828395,74.445116,15580,11.36,1,8.46
VLG061,Kasabe,19.936269,74.371486,6938,103.11,4,7.57
VLG062,Karjule,19.932503,74.401101,6764,72.54,5,4.93
VLG063,Bhendi Vasti,19.920572,74.565604,3611,77.07,3,3.12
VLG064,Pipalgaon,19.899016,74.389475,8735,78.92,4,5.42
VLG065,Chandanapuri,19.827455,74.399919,7745,8.38,6,7.44
VLG066,Rahata,19.891763,74.510151,16599,127.3,3,2.85
VLG067,Ozar,19.940486,74.500135,748,126.83,0,7.33
VLG068,Shrirampur,19.907425,74.504873,13376,136.53,6,4.14
VLG069,Rahata,19.93423,74.382206,4013,74.48,5,4.04
VLG070,Bramhangaon,19.886683,74.530969,8188,48.14,1,3.37
VLG071,Titvi Tanda,19.899326,74.486792,7881,29.37,6,2.28
VLG072,Deolali Peth,19.851259,74.499094,11500,139.68,4,3.35
VLG073,Vari,19.82667,74.511994,11374,37.79,6,5.94
VLG074,Yeola,19.905187,74.581326,14284,77.9,0,3.88
VLG075,Dahigaon Tanda,19.820855,74.548627,13337,121.08,5,9.41
VLG076,Sonai,19.907312,74.493254,530,27.24,3,2.59
VLG077,Yeola Tanda,19.917998,74.593889,16540,10.12,3,7.87
VLG078,Askheda Wadi,19.943445,74.418853,13777,95.85,5,8.6
VLG079,Aloli,19.947756,74.452609,16379,101.04,1,8.65
VLG080,Ranjankhol,19.921325,74.373479,9411,64.86,2,9.08
VLG081,Ranjankhol,19.873321,74.394702,10905,19.84,5,6.45
VLG082,Chandanapuri Peth,19.912027,74.468875,8676,45.99,4,8.34
VLG083,Rui Khurd,19.834906,74.431091,7823,112.51,3,3.91
VLG084,Kokamthan Vasti,19.906563,74.591086,15617,123.47,4,4.75
VLG085,Hingangaon Pathar,19.863445,74.441745,17205,96.62,3,4.39
VLG086,Wadgaon,19.907461,74.4828,2989,138.92,0,2.04
VLG087,Askheda,19.83782,74.497244,14764,10.95,2,2.26
VLG088,Hingangaon,19.806974,74.386522,2619,125.69,3,5.03
VLG089,Songaon,19.917431,74.45491,8070,26.22,3,3.66
VLG090,Loni,19.871822,74.569605,10840,131.79,2,6.12
VLG091,Sangamner,19.841914,74.417967,16360,77.43,4,6.52
VLG092,Rui Peth,19.807942,74.507427,15038,12.2,2,8.16
VLG093,Askheda Peth,19.944006,74.595447,1280,42.94,0,6.58
VLG094,Kasabe,19.91106,74.591797,7686,77.23,6,2.52
VLG095,Chas,19.824029,74.382242,12335,149.7,4,4.65
VLG096,Ranjankhol,19.832967,74.53063,13948,64.79,5,9.0
VLG097,Chandanapuri,19.928306,74.590294,12829,119.95,4,9.25
VLG098,Aloli Wadi,19.924956,74.463809,15025,111.85,0,2.71
VLG099,Dahigaon Vasti,19.938436,74.39672,11040,15.72,3,4.07
VLG100,Nandur,19.815728,74.53301,1383,108.14,0,7.57
