waterbody_id,name,type,latitude,longitude,village_id,area_sqkm,depth_m,water_quality,biodiversity_score,pollution_level,fish_species_count,aquatic_plants,last_inspection
WB001,Pathare Percolation Tank,Percolation Tank,19.923063,74.540393,VLG053,11.6359,1.45,Excellent,9.3,Low,11,"Nymphaea, Typha",2025-06-02
WB002,Bramhangaon Wadi Check Dam,Check Dam,19.815843,74.487605,VLG013,8.9796,11.2,Good,2.13,Low,16,"Water Hyacinth, Lotus",2025-04-13
WB003,Chandanapuri Check Dam,Check Dam,19.864474,74.352895,VLG097,6.7618,12.03,Good,3.8,Moderate,3,"Duckweed, reeds",2025-09-05
WB004,Aloli Check Dam,Check Dam,19.86063,74.352957,VLG079,3.2653,4.08,Good,2.22,High,0,"Duckweed, reeds",2025-06-17
WB005,Chaskaon Check Dam,Check Dam,19.90177,74.414241,VLG015,7.9603,10.02,Excellent,5.27,Moderate,14,"Ipomoea aquatica, algae",2025-03-02
WB006,Kasabe Canal,Canal,19.876322,74.436082,VLG094,6.3658,7.51,Poor,7.69,Low,13,"Nymphaea, Typha",2025-08-31
WB007,Godavari River,River,19.839407,74.501925,VLG038,4.3644,12.42,Poor,5.87,Low,10,"Ipomoea aquatica, algae",2025-04-04
WB008,Musalwadi Percolation Tank,Percolation Tank,19.852688,74.546525,VLG001,7.8305,8.54,Good,4.12,Low,9,"Ipomoea aquatica, algae",2025-05-07
WB009,Ranjankhol Check Dam,Check Dam,19.941472,74.527245,VLG081,1.5057,6.17,Poor,3.86,Severe,9,"Nymphaea, Typha",2025-05-08
WB010,Godavari River,River,19.81667,74.371839,VLG062,6.6312,0.74,Moderate,4.29,Moderate,0,"Nymphaea, Typha",2025-10-13
WB011,Chaskaon Lake,Lake,19.901239,74.447958,VLG015,2.3626,14.21,Excellent,7.01,Moderate,10,"Nymphaea, Typha",2025-10-30
WB012,Musalwadi Percolation Tank,Percolation Tank,19.92484,74.426056,VLG032,8.9458,12.31,Excellent,7.96,Low,9,"Duckweed, reeds",2025-07-12
WB013,Sangamner Canal,Canal,19.925734,74.5544,VLG060,4.2279,9.81,Very Poor,3.72,Severe,14,"Duckweed, reeds",2025-04-14
WB014,Loni Pond,Pond,19.850183,74.588635,VLG090,10.0277,3.68,Moderate,5.48,Severe,13,"Duckweed, reeds",2025-07-07
WB015,Kopargaon Peth Check Dam,Check Dam,19.912768,74.474927,VLG046,10.5159,12.54,Good,6.1,Low,22,None observed,2025-04-30
WB016,Godavari River,River,19.932586,74.431024,VLG032,5.3956,2.12,Excellent,2.11,High,5,"Water Hyacinth, Lotus",2025-03-19
WB017,Loni Percolation Tank,Percolation Tank,19.9468,74.521444,VLG090,5.0535,1.21,Excellent,7.49,Low,3,"Nymphaea, Typha",2025-05-04
WB018,Wadgaon Pond,Pond,19.895655,74.501472,VLG026,8.994,12.5,Excellent,4.17,Moderate,14,"Duckweed, reeds",2025-04-09
WB019,Hingangaon Pathar Lake,Lake,19.850324,74.584195,VLG085,6.667,7.59,Moderate,7.41,Low,3,None observed,2025-12-19
WB020,Godavari River,River,19.909054,74.398746,VLG058,7.5392,3.52,Very Poor,5.21,Moderate,21,"Water Hyacinth, Lotus",2025-08-29
WB021,Aloli Pathar Percolation Tank,Percolation Tank,19.850987,74.46156,VLG054,6.4445,13.72,Moderate,2.04,Moderate,10,"Duckweed, reeds",2025-10-15
WB022,Rahata Pond,Pond,19.945837,74.531037,VLG066,4.9791,9.12,Moderate,4.19,High,21,"Ipomoea aquatica, algae",2025-03-29
WB023,Godavari River,River,19.817609,74.43656,VLG093,12.2119,6.74,Very Poor,7.67,Moderate,4,"Nymphaea, Typha",2025-08-19
WB024,Askheda Canal,Canal,19.89211,74.432879,VLG087,9.763,11.78,Poor,4.51,High,5,"Ipomoea aquatica, algae",2025-11-03
WB025,Nandur Pond,Pond,19.807094,74.376525,VLG100,0.4405,2.75,Very Poor,5.97,Low,12,"Water Hyacinth, Lotus",2025-03-31
WB026,Kasabe Check Dam,Check Dam,19.819476,74.419117,VLG061,10.6828,3.81,Moderate,6.15,Severe,8,"Nymphaea, Typha",2025-09-21
WB027,Songaon Check Dam,Check Dam,19.882787,74.48306,VLG012,10.8831,8.01,Moderate,3.23,Low,17,"Nymphaea, Typha",2025-06-29
WB028,Aloli Percolation Tank,Percolation Tank,19.875343,74.546105,VLG079,12.1556,10.35,Poor,6.47,High,8,"Water Hyacinth, Lotus",2025-06-22
WB029,Kasabe Check Dam,Check Dam,19.815028,74.52928,VLG031,11.7119,7.24,Good,3.75,Moderate,14,None observed,2025-05-02
WB030,Ranjankhol Canal,Canal,19.851762,74.360918,VLG096,6.8677,13.17,Poor,7.69,Low,15,"Ipomoea aquatica, algae",2025-11-13
WB031,Chas Wadi Canal,Canal,19.949465,74.579653,VLG042,5.1024,3.49,Excellent,1.51,Moderate,10,"Water Hyacinth, Lotus",2025-06-11
WB032,Pathare Percolation Tank,Percolation Tank,19.920286,74.409914,VLG053,1.5094,5.04,Good,6.3,High,8,"Ipomoea aquatica, algae",2025-10-02
WB033,Shrirampur Percolation Tank,Percolation Tank,19.849004,74.406747,VLG068,9.9289,4.88,Very Poor,9.12,Low,20,"Duckweed, reeds",2025-10-02
WB034,Yeola Check Dam,Check Dam,19.841303,74.495234,VLG074,7.1615,13.0,Excellent,4.73,Low,2,"Nymphaea, Typha",2025-02-20
WB035,Pimpalgaon Reservoir,Reservoir,19.93765,74.510807,VLG024,0.4454,7.57,Very Poor,6.0,Moderate,7,"Water Hyacinth, Lotus",2025-11-21
WB036,Pimpalgaon Canal,Canal,19.863955,74.380039,VLG024,7.1157,3.23,Moderate,8.15,Moderate,3,"Duckweed, reeds",2025-01-14
WB037,Songaon Percolation Tank,Percolation Tank,19.896664,74.361807,VLG089,9.4666,12.84,Very Poor,7.52,High,1,None observed,2025-09-11
WB038,Musalwadi Canal,Canal,19.875651,74.598672,VLG025,4.5697,6.81,Moderate,3.83,High,11,"Nymphaea, Typha",2025-06-10
WB039,Pohegaon Canal,Canal,19.884561,74.374844,VLG019,10.7185,14.33,Moderate,6.22,Moderate,21,"Duckweed, reeds",2025-12-08
WB040,Songaon Canal,Canal,19.877323,74.374521,VLG089,8.6045,13.94,Very Poor,3.44,Moderate,12,"Water Hyacinth, Lotus",2025-10-15
WB041,Songaon Canal,Canal,19.873675,74.45923,VLG049,3.3937,7.64,Moderate,2.31,High,18,"Duckweed, reeds",2025-05-21
WB042,Sangamner Vasti Stream,Stream,19.945014,74.592233,VLG003,10.9507,11.44,Poor,5.08,Low,4,"Nymphaea, Typha",2025-02-15
WB043,Aloli Pond,Pond,19.809876,74.533432,VLG010,1.3975,9.89,Poor,7.41,Severe,12,"Nymphaea, Typha",2025-01-29
WB044,Wadgaon Lake,Lake,19.878961,74.415884,VLG086,5.6841,11.25,Good,4.76,High,21,"Ipomoea aquatica, algae",2025-08-30
WB045,Karjule Canal,Canal,19.870238,74.583655,VLG023,5.0522,1.55,Good,7.84,High,20,"Duckweed, reeds",2025-09-01
WB046,Bramhangaon Check Dam,Check Dam,19.931299,74.595372,VLG070,4.6212,9.84,Good,7.31,Moderate,2,"Nymphaea, Typha",2025-04-08
WB047,Karjule Canal,Canal,19.804592,74.506445,VLG062,7.2523,5.93,Poor,3.02,High,10,"Nymphaea, Typha",2025-09-04
WB048,Aloli Canal,Canal,19.8657,74.411839,VLG027,8.0592,1.98,Poor,2.65,High,14,"Nymphaea, Typha",2025-10-20
WB049,Songaon Percolation Tank,Percolation Tank,19.811935,74.55539,VLG049,2.8024,4.46,Excellent,2.69,High,4,"Nymphaea, Typha",2025-05-18
WB050,Sangamner Reservoir,Reservoir,19.841998,74.456845,VLG060,5.0151,5.7,Very Poor,5.32,Moderate,12,"Nymphaea, Typha",2025-05-25
WB051,Loni Check Dam,Check Dam,19.823051,74.367373,VLG090,0.5257,11.55,Good,5.87,High,14,"Water Hyacinth, Lotus",2025-10-23
WB052,Sangamner Pond,Pond,19.835505,74.381409,VLG060,9.2177,3.84,Poor,8.65,High,11,"Nymphaea, Typha",2025-01-10
WB053,Chas Wadi Check Dam,Check Dam,19.879844,74.504512,VLG042,10.305,6.61,Poor,4.56,Moderate,22,None observed,2025-01-23
WB054,Sonai Wadi Pond,Pond,19.826332,74.407846,VLG028,6.104,6.47,Excellent,8.91,Low,0,"Water Hyacinth, Lotus",2025-05-19
WB055,Kopargaon Peth Reservoir,Reservoir,19.944386,74.490777,VLG046,1.9008,2.18,Excellent,7.71,Severe,13,None observed,2025-01-13
WB056,Godavari River,River,19.837742,74.383367,VLG060,11.7868,6.52,Very Poor,8.09,Moderate,9,None observed,2025-12-13
WB057,Dhondegaon Pond,Pond,19.928114,74.457579,VLG055,10.057,14.94,Poor,4.91,High,17,"Nymphaea, Typha",2025-06-29
WB058,Pohegaon Percolation Tank,Percolation Tank,19.927812,74.417871,VLG019,1.1044,14.4,Good,2.25,Moderate,9,"Ipomoea aquatica, algae",2025-03-23
WB059,Sangamner Pond,Pond,19.907509,74.553702,VLG091,0.2063,1.99,Very Poor,7.64,Low,12,"Duckweed, reeds",2025-06-22
WB060,Nandur Pond,Pond,19.813534,74.357336,VLG100,8.4901,11.11,Moderate,9.23,Severe,2,"Duckweed, reeds",2025-03-06
WB061,Nandur Reservoir,Reservoir,19.838838,74.499104,VLG030,1.2786,10.11,Good,9.19,Low,21,"Water Hyacinth, Lotus",2025-03-09
WB062,Wadgaon Canal,Canal,19.832064,74.444414,VLG018,10.7237,3.02,Good,8.07,High,11,"Nymphaea, Typha",2025-11-21
