weather_id,date,temperature_c,rainfall_mm,humidity_pct,wind_speed_kmph,pressure_hpa,uv_index
WX00001,2016-08-01,29.9,37.2,87.3,8.2,1006.7,8.8
WX00002,2016-08-02,32.4,46.5,64.2,5.2,1005.8,7.0
WX00003,2016-08-03,32.6,0.0,82.5,10.8,1010.4,9.6
WX00004,2016-08-04,32.6,0.0,79.6,14.6,1003.5,9.4
WX00005,2016-08-05,32.1,6.5,70.8,6.6,1012.1,7.1
WX00006,2016-08-06,33.2,16.9,67.1,18.1,1007.0,9.4
WX00007,2016-08-07,30.8,3.8,66.6,2.6,1007.5,9.5
WX00008,2016-08-08,28.1,24.2,60.1,2.4,1012.2,7.7
WX00009,2016-08-09,31.2,0.0,83.5,2.9,1002.6,11.6
WX00010,2016-08-10,32.3,0.0,80.9,7.9,1005.3,7.5
WX00011,2016-08-11,29.6,35.1,59.9,15.3,1006.3,9.7
WX00012,2016-08-12,29.7,51.8,80.9,2.6,1009.0,10.3
WX00013,2016-08-13,31.2,3.3,61.4,9.6,1009.0,7.5
WX00014,2016-08-14,31.2,0.0,60.7,14.3,1005.3,8.9
WX00015,2016-08-15,32.6,0.0,76.6,7.0,1007.3,7.5
WX00016,2016-08-16,35.3,22.1,64.0,13.2,1002.6,7.6
WX00017,2016-08-17,33.9,0.0,69.1,2.8,1007.4,6.7
WX00018,2016-08-18,31.6,0.0,76.6,5.7,1001.6,8.3
WX00019,2016-08-19,28.7,30.5,83.0,6.7,1009.2,7.6
WX00020,2016-08-20,30.1,0.0,83.8,7.2,1005.3,7.9
WX00021,2016-08-21,25.6,0.0,76.5,6.6,1007.4,6.8
WX00022,2016-08-22,29.7,31.7,87.1,9.3,1010.5,7.5
WX00023,2016-08-23,26.8,15.8,69.0,9.7,1011.9,7.6
WX00024,2016-08-24,32.4,0.0,68.2,9.6,1000.7,8.7
WX00025,2016-08-25,31.4,0.0,70.7,4.6,1004.7,8.1
WX00026,2016-08-26,28.6,13.0,74.5,8.6,1018.2,6.7
WX00027,2016-08-27,32.2,2.3,77.3,12.5,1001.4,10.4
WX00028,2016-08-28,28.1,0.0,77.1,9.4,1017.4,7.5
WX00029,2016-08-29,28.4,11.2,72.2,11.0,1007.2,8.6
WX00030,2016-08-30,24.5,41.4,71.8,10.2,1009.7,5.6
WX00031,2016-08-31,29.7,25.5,77.3,12.9,1003.8,9.0
WX00032,2016-09-01,27.5,0.0,65.4,5.5,1008.1,6.4
WX00033,2016-09-02,29.4,19.3,82.3,14.1,1015.2,6.4
WX00034,2016-09-03,26.7,0.0,75.7,7.3,1008.5,9.1
WX00035,2016-09-04,27.6,0.0,78.7,11.9,998.5,7.1
WX00036,2016-09-05,24.5,0.0,62.0,5.2,1009.0,7.1
WX00037,2016-09-06,30.4,66.7,63.5,11.2,1009.9,2.9
WX00038,2016-09-07,24.5,32.1,74.5,11.1,1006.2,5.9
WX00039,2016-09-08,28.7,0.0,72.7,12.0,1008.7,6.3
WX00040,2016-09-09,29.3,0.0,74.4,4.5,1007.5,6.7
WX00041,2016-09-10,24.2,0.0,74.0,9.6,1002.6,7.2
WX00042,2016-09-11,29.4,0.0,79.7,14.6,1005.6,5.5
WX00043,2016-09-12,28.0,0.0,77.0,15.9,1001.8,4.2
WX00044,2016-09-13,31.3,0.0,74.2,8.0,1008.1,7.3
WX00045,2016-09-14,28.7,0.0,53.1,12.7,1001.2,5.3
WX00046,2016-09-15,22.1,0.0,85.9,10.9,1017.3,6.7
WX00047,2016-09-16,26.4,15.5,73.5,5.3,1008.2,6.1
WX00048,2016-09-17,23.6,0.0,67.5,12.2,1007.9,6.6
WX00049,2016-09-18,22.1,26.9,70.0,10.2,1014.6,3.5
WX00050,2016-09-19,25.4,14.5,80.2,15.1,1013.4,5.0
WX00051,2016-09-20,28.6,0.0,73.7,11.6,1001.7,5.6
WX00052,2016-09-21,27.7,0.0,74.3,9.8,1006.8,6.5
WX00053,2016-09-22,30.0,0.0,81.3,12.2,1013.4,4.7
WX00054,2016-09-23,25.9,0.0,72.5,5.6,1013.2,6.7
WX00055,2016-09-24,31.1,18.8,72.2,12.7,1001.5,6.3
WX00056,2016-09-25,24.2,0.0,72.4,13.2,1007.4,5.1
WX00057,2016-09-26,22.6,0.0,75.8,12.9,1009.0,6.4
WX00058,2016-09-27,21.7,0.0,79.3,5.2,1006.0,3.9
WX00059,2016-09-28,24.5,23.4,76.1,8.6,1007.9,5.5
WX00060,2016-09-29,27.8,36.5,87.1,6.6,1014.1,4.7
WX00061,2016-09-30,29.4,18.8,93.1,2.9,1010.4,6.2
